timestamp,x,y,yaw
1779877092.850349665,0.327945,2.723166,1.572939
1779877100.628473043,0.317625,2.721593,1.571270
1779877100.768501520,0.317090,2.721954,1.571196
1779877100.948331356,0.313029,2.730275,1.570882
1779877100.968294382,0.313029,2.730275,1.570882
1779877101.208289623,0.311773,2.751167,1.572465
1779877101.488303185,0.309592,2.754963,1.577993
1779877101.928086758,0.355843,2.763670,1.598556
1779877102.687990904,0.336602,2.785117,1.638736
1779877102.817907095,0.332537,2.786697,1.647012
1779877103.097794294,0.338223,2.783300,1.674868
1779877103.137906790,0.338223,2.783300,1.674868
1779877103.197869778,0.339934,2.780651,1.683589
1779877103.387849092,0.335576,2.772341,1.700417
1779877103.477753639,0.335133,2.765383,1.709643
1779877104.757529974,0.350510,2.777381,1.823653
1779877104.877426386,0.368201,2.789785,1.842244
1779877105.117398977,0.384813,2.799827,1.859537
1779877105.717251301,0.420882,2.816653,1.902557
1779877106.137177467,2.716821,-3.243483,1.928760
1779877106.197093248,0.448288,2.849022,1.935912
1779877106.496990919,0.463906,2.866663,1.954624
1779877106.677002430,0.466029,2.872155,1.960187
1779877106.817045689,0.473309,2.881881,1.972227
1779877107.416757822,0.517006,2.918415,2.007473
1779877107.976680517,0.549572,2.943651,2.040824
1779877109.236372709,-88.296467,-50.228239,2.110338
1779877109.356435061,0.648777,3.034775,2.115221
1779877110.316063881,0.687896,3.054721,2.143593
1779877110.616073608,0.699991,3.059345,2.150527
1779877111.175886869,0.733695,3.083289,2.165249
1779877111.615846872,0.753705,3.091327,2.174716
1779877111.735892057,0.759452,3.092826,2.176831
1779877111.935830593,0.752614,3.085838,2.180288
1779877113.255419493,0.789643,3.027049,2.191268
1779877113.355455399,0.792631,3.024103,2.191675
1779877113.435361862,0.792661,3.026808,2.191544
1779877113.755305290,0.795246,3.026304,2.192299
1779877114.015322208,0.782452,3.015017,2.190558
1779877114.335150480,0.772789,2.998050,2.190056
1779877114.555073977,0.785186,2.992397,2.192348
1779877114.695064068,0.808631,2.993252,2.196608
1779877115.174974918,0.839455,2.965193,2.201814
1779877115.275016069,0.840815,2.971714,2.202062
