# index filename x y z qw qx qy qz
0 0.pcd 6.24111e-06 1.50153e-05 0.000764488 0.99998 0.000978135 -0.00625957 3.56005e-05
1 1.pcd 2.46014 -2.22182 0.01757 0.7082 -0.0032312 -0.0040439 -0.705992
2 2.pcd 2.54639 -5.25768 -0.0104616 0.723676 0.00600952 0.00474189 -0.690097
3 3.pcd 2.71734 -8.30272 -0.00878483 0.722582 -0.00140475 -0.00289694 -0.691278
4 4.pcd 2.75571 -11.3437 -0.0170437 0.702277 -0.00178952 -0.00160155 -0.7119
5 5.pcd 5.33278 -13.5187 -0.00685594 0.999972 -7.25886e-05 -0.00749079 -0.000747774
6 6.pcd 8.37719 -13.5547 0.00453034 0.999986 0.00130349 -0.00472907 0.00200841
7 7.pcd 11.4105 -13.5599 0.00161368 0.999962 -0.000184864 -0.00403536 -0.0077451
8 8.pcd 13.538 -11.2155 -0.00155856 0.702825 0.0034031 -0.00436493 0.711341
9 9.pcd 13.5069 -8.16859 0.00771958 0.707892 0.00467661 -0.0045046 0.706291
10 10.pcd 13.482 -5.11982 0.0086687 0.696841 0.00366227 -0.00244538 0.717212
11 11.pcd 13.3769 -2.07973 -0.000933476 0.696886 -0.000901436 0.000522909 0.717181
12 12.pcd 10.4792 -0.296555 0.0154706 0.00436764 0.00361344 -0.0032787 0.999979
13 13.pcd 7.39181 -0.242937 0.0165365 0.00677236 0.00674163 -0.00274187 0.999951
