# index filename x y z qw qx qy qz
0 0.pcd 3.67958e-05 -9.78438e-06 0.000857378 0.999978 0.0020246 -0.00632068 -1.32897e-05
1 1.pcd 0.213001 0.00758756 0.000215812 0.998902 0.00241868 -0.00795074 0.0461114
2 2.pcd 0.718816 0.0439769 0.000290067 0.999753 0.00236791 -0.00612404 0.02124
3 3.pcd 1.24776 0.0703046 0.000106752 0.999785 0.000719002 -0.0065785 0.019633
4 4.pcd 1.78484 0.0780958 -0.000793581 0.999845 0.000701024 -0.00600799 -0.016533
5 5.pcd 2.31179 0.0527086 -0.000946493 0.999453 0.000910945 -0.00597535 -0.0325215
6 6.pcd 2.84337 0.0208972 -0.00261172 0.999803 0.000389705 -0.0061821 -0.0188779
7 7.pcd 3.34765 0.00778272 -0.00196959 0.999471 -0.000592263 -0.00657158 -0.031842
8 8.pcd 3.44758 -0.00392191 -0.00157218 0.996474 -0.000948996 -0.00564961 -0.0837061
9 9.pcd 3.56817 -0.0386923 -0.00240646 0.982592 -0.0018463 -0.00602216 -0.185669
10 10.pcd 3.67439 -0.0913725 -0.00110181 0.960965 -0.00206769 -0.00577225 -0.276602
11 11.pcd 3.75432 -0.152832 -0.000820145 0.946074 -0.00199189 -0.00587442 -0.323892
12 12.pcd 3.88206 -0.26436 -0.000255891 0.930726 -0.00119547 -0.00537083 -0.365676
13 13.pcd 4.17355 -0.551378 0.000225361 0.911042 -0.00215827 -0.00515722 -0.412275
14 14.pcd 4.28715 -0.704828 -6.7886e-05 0.870675 -0.00218915 -0.00491323 -0.49183
15 15.pcd 4.3372 -0.804393 -0.000387107 0.84777 -0.00216554 -0.00437154 -0.530341
16 16.pcd 4.38508 -0.918819 -0.00170857 0.818928 -0.00169574 -0.00374795 -0.573881
17 17.pcd 4.42557 -1.04504 -0.00111326 0.790594 -0.0024923 -0.00310484 -0.612328
18 18.pcd 4.44367 -1.15048 -0.00167177 0.761156 -0.00301024 -0.00165447 -0.64856
19 19.pcd 4.49866 -1.66234 -0.00356929 0.74339 -0.00381696 -0.000868893 -0.668847
20 20.pcd 4.55455 -2.17437 -0.00689648 0.743941 -0.00324402 -0.000429449 -0.668238
21 21.pcd 4.5756 -2.47902 -0.00798126 0.713778 -0.00347992 -0.000934865 -0.700363
22 22.pcd 4.56264 -2.99535 -0.00888194 0.690579 -0.00618736 -0.000822262 -0.72323
23 23.pcd 4.54251 -3.49747 -0.00978792 0.69704 -0.005717 -0.000270568 -0.717009
24 24.pcd 4.52529 -4.0063 -0.0113927 0.694545 -0.00483142 -0.000117728 -0.719433
25 25.pcd 4.51444 -4.52604 -0.0127064 0.700872 -0.00596576 6.15526e-05 -0.713262
26 26.pcd 4.50595 -5.0357 -0.0142151 0.701007 -0.00655122 -0.000655884 -0.713124
27 27.pcd 4.50058 -5.53669 -0.014578 0.699977 -0.00645492 -0.00131714 -0.714135
28 28.pcd 4.48447 -6.04669 -0.0197278 0.700551 -0.00552145 0.00132982 -0.713579
29 29.pcd 4.47885 -6.5507 -0.0210689 0.698665 -0.00822069 -0.000139282 -0.715402
30 30.pcd 4.46598 -7.05267 -0.0218373 0.699273 -0.00754832 -0.000325134 -0.714814
31 31.pcd 4.45419 -7.57098 -0.0222981 0.698329 -0.0100199 -0.0015238 -0.715705
32 32.pcd 4.43964 -8.09347 -0.0201955 0.699417 -0.0113054 -0.00159727 -0.714622
33 33.pcd 4.42518 -8.60551 -0.0206236 0.698754 -0.0116632 -0.000632144 -0.715266
34 34.pcd 4.41003 -9.11303 -0.0223057 0.697681 -0.0132352 0.000694033 -0.716286
35 35.pcd 4.39375 -9.61603 -0.0238455 0.697119 -0.0129762 0.00137529 -0.716837
